step,train_loss,val_loss,hellaswag,mmlu,arc,lr,grad_norm,tokens_per_sec,mfu,dt_ms
80,6.981046,,,,,5.445378e-04,0.3818,290620.45,0.533490,1804.03
81,6.957669,,,,,5.512605e-04,0.4023,290494.64,0.533259,1804.81
82,6.941261,,,,,5.579832e-04,0.4772,290501.59,0.533272,1804.77
83,6.890180,,,,,5.647059e-04,0.2660,290300.41,0.532902,1806.02
84,6.927395,,,,,5.714286e-04,0.3942,290397.59,0.533081,1805.41
85,6.880743,,,,,5.781513e-04,0.2725,289960.99,0.532279,1808.13
86,6.889834,,,,,5.848739e-04,0.2787,289854.62,0.532084,1808.80
87,6.909960,,,,,5.915966e-04,0.4088,289769.98,0.531929,1809.32
88,6.903278,,,,,5.983193e-04,0.4044,289520.78,0.531471,1810.88
89,6.870256,,,,,6.050420e-04,0.2684,289497.53,0.531428,1811.03
90,6.806209,,,,,6.117647e-04,0.4063,289517.01,0.531464,1810.91
91,6.807361,,,,,6.184874e-04,0.3779,289497.19,0.531428,1811.03
92,6.783312,,,,,6.252101e-04,0.3571,288553.84,0.529696,1816.95
93,6.771322,,,,,6.319328e-04,0.3128,289358.57,0.531173,1811.90
94,6.753125,,,,,6.386555e-04,0.4302,289361.77,0.531179,1811.88
95,6.719769,,,,,6.453782e-04,0.2419,289208.06,0.530897,1812.84
96,6.732721,,,,,6.521008e-04,0.2999,289213.08,0.530906,1812.81
97,6.666555,,,,,6.588235e-04,0.2678,289056.53,0.530619,1813.79
98,6.650779,,,,,6.655462e-04,0.2914,289040.61,0.530590,1813.89
99,6.628960,,,,,6.722689e-04,0.2656,289110.15,0.530717,1813.45
100,6.604609,,,,,6.789916e-04,0.2678,289051.02,0.530609,1813.83
101,6.627041,,,,,6.857143e-04,0.4888,288919.88,0.530368,1814.65
102,6.583823,,,,,6.924370e-04,0.4416,288878.97,0.530293,1814.91
103,6.610712,,,,,6.991597e-04,0.3614,288686.96,0.529940,1816.11
104,6.576466,,,,,7.058824e-04,0.4791,288903.67,0.530338,1814.75
105,6.590086,,,,,7.126050e-04,0.5643,288702.16,0.529968,1816.02
106,6.531231,,,,,7.193277e-04,0.6067,288670.74,0.529911,1816.21
107,6.522015,,,,,7.260504e-04,0.3499,288688.55,0.529943,1816.10
108,6.521278,,,,,7.327731e-04,0.4524,288685.90,0.529938,1816.12
109,6.481655,,,,,7.394958e-04,0.3087,288651.30,0.529875,1816.34
110,6.492970,,,,,7.462185e-04,0.4076,288649.67,0.529872,1816.35
111,6.467397,,,,,7.529412e-04,0.3660,288580.54,0.529745,1816.78
112,6.457495,,,,,7.596639e-04,0.3133,288496.19,0.529590,1817.31
113,6.424737,,,,,7.663866e-04,0.3318,288456.76,0.529518,1817.56
114,6.432928,,,,,7.731092e-04,0.2781,288568.73,0.529723,1816.86
115,6.405157,,,,,7.798319e-04,0.2610,288461.33,0.529526,1817.53
116,6.364675,,,,,7.865546e-04,0.2300,288567.85,0.529722,1816.86
117,6.378879,,,,,7.932773e-04,0.2816,288367.56,0.529354,1818.12
118,6.336201,,,,,8.000000e-04,0.2177,288343.21,0.529309,1818.28
119,6.344336,,,,,8.067227e-04,0.2633,288188.81,0.529026,1819.25
120,6.310221,,,,,8.134454e-04,0.2025,288223.52,0.529090,1819.03
121,6.305005,,,,,8.201681e-04,0.2999,288248.57,0.529136,1818.87
122,6.305919,,,,,8.268908e-04,0.4895,288263.53,0.529163,1818.78
123,6.333004,,,,,8.336134e-04,0.6949,288120.09,0.528900,1819.69
124,6.311696,,,,,8.403361e-04,0.5533,288111.63,0.528884,1819.74
125,6.317214,,,,,8.470588e-04,0.8142,287575.10,0.527899,1823.13
126,6.323500,,,,,8.537815e-04,0.7198,288004.09,0.528687,1820.42
127,6.288121,,,,,8.605042e-04,0.6270,287824.77,0.528358,1821.55
128,6.283410,,,,,8.672269e-04,0.6106,287933.65,0.528558,1820.86
129,6.265091,,,,,8.739496e-04,0.4536,288109.25,0.528880,1819.75
130,6.251448,,,,,8.806723e-04,0.3899,288086.15,0.528838,1819.90
131,6.215408,,,,,8.873950e-04,0.3527,287190.67,0.527194,1825.57
132,6.225671,,,,,8.941176e-04,0.3671,287774.67,0.528266,1821.87
133,6.212617,,,,,9.008403e-04,0.2862,287931.65,0.528554,1820.88
134,6.182132,,,,,9.075630e-04,0.2819,288030.16,0.528735,1820.25
135,6.199684,,,,,9.142857e-04,0.2591,287883.96,0.528466,1821.18
136,6.164352,,,,,9.210084e-04,0.2450,287923.84,0.528540,1820.93
137,6.148793,,,,,9.277311e-04,0.1717,287881.78,0.528462,1821.19
138,6.137886,,,,,9.344538e-04,0.1935,287883.29,0.528465,1821.18
139,6.141262,,,,,9.411765e-04,0.2456,287878.12,0.528456,1821.22
140,6.147083,,,,,9.478992e-04,0.2265,287928.67,0.528548,1820.90
141,6.133252,,,,,9.546218e-04,0.2425,287853.40,0.528410,1821.37
142,6.109189,,,,,9.613445e-04,0.2372,287797.19,0.528307,1821.73
143,6.069403,,,,,9.680672e-04,0.2682,287729.26,0.528182,1822.16
144,6.059665,,,,,9.747899e-04,0.3772,287746.92,0.528215,1822.05
145,6.050181,,,,,9.815126e-04,0.2712,287737.62,0.528198,1822.10
146,6.019731,,,,,9.882353e-04,0.2911,287643.41,0.528025,1822.70
147,6.013184,,,,,9.949580e-04,0.3094,287772.04,0.528261,1821.89
148,6.011482,,,,,1.001681e-03,0.3368,286917.02,0.526691,1827.32
149,6.014194,,,,,1.008403e-03,0.4933,287636.68,0.528012,1822.74
150,6.002357,,,,,1.015126e-03,0.5813,287545.13,0.527844,1823.32
151,5.987360,,,,,1.021849e-03,0.4422,287629.91,0.528000,1822.79
152,5.960076,,,,,1.028571e-03,0.3412,287658.05,0.528052,1822.61
153,5.939574,,,,,1.035294e-03,0.3247,287571.68,0.527893,1823.16
154,5.952930,,,,,1.042017e-03,0.2947,287485.93,0.527736,1823.70
155,5.918678,,,,,1.048739e-03,0.2885,287402.70,0.527583,1824.23
156,5.885632,,,,,1.055462e-03,0.2286,286846.06,0.526561,1827.77
157,5.898816,,,,,1.062185e-03,0.2186,287357.37,0.527500,1824.52
158,5.881358,,,,,1.068908e-03,0.2076,287457.59,0.527684,1823.88
159,5.861076,,,,,1.075630e-03,0.2502,246619.56,0.452718,2125.90
160,5.853734,,,,,1.082353e-03,0.2550,288250.00,0.529138,1818.87
161,5.844917,,,,,1.089076e-03,0.4754,246509.83,0.452516,2126.84
162,5.834287,,,,,1.095798e-03,0.4823,287162.47,0.527142,1825.75
163,5.812108,,,,,1.102521e-03,0.3291,286560.70,0.526037,1829.59
164,5.871779,,,,,1.109244e-03,0.5970,286875.43,0.526615,1827.58
165,5.853919,,,,,1.115966e-03,0.4197,287102.03,0.527031,1826.14
166,5.820320,,,,,1.122689e-03,0.5341,286378.62,0.525703,1830.75
167,5.823702,,,,,1.129412e-03,0.3664,287143.98,0.527108,1825.87
168,5.843420,,,,,1.136134e-03,0.4678,287159.47,0.527136,1825.77
169,5.810123,,,,,1.142857e-03,0.4306,287251.89,0.527306,1825.19
170,5.801504,,,,,1.149580e-03,0.5111,287364.69,0.527513,1824.47
171,5.766738,,,,,1.156303e-03,0.4114,286675.54,0.526248,1828.86
172,5.766603,,,,,1.163025e-03,0.3141,287225.44,0.527258,1825.35
173,5.717376,,,,,1.169748e-03,0.3012,287126.17,0.527075,1825.98
174,5.726528,,,,,1.176471e-03,0.3118,287238.72,0.527282,1825.27
175,5.715019,,,,,1.183193e-03,0.3525,287334.32,0.527457,1824.66
176,5.679248,,,,,1.189916e-03,0.3250,287217.04,0.527242,1825.41
177,5.686042,,,,,1.196639e-03,0.2326,287078.90,0.526989,1826.29
178,5.678914,,,,,1.203361e-03,0.2613,286974.98,0.526798,1826.95
179,5.638364,,,,,1.210084e-03,0.2544,287255.64,0.527313,1825.16
180,5.655400,,,,,1.216807e-03,0.1958,287168.73,0.527153,1825.71
181,5.630837,,,,,1.223529e-03,0.2527,287117.14,0.527059,1826.04
182,5.622011,,,,,1.230252e-03,0.1930,287104.17,0.527035,1826.12
183,5.635364,,,,,1.236975e-03,0.2818,287070.58,0.526973,1826.34
184,5.585103,,,,,1.243697e-03,0.2617,287021.99,0.526884,1826.65
185,5.579702,,,,,1.250420e-03,0.2552,286939.11,0.526732,1827.18
186,5.555392,,,,,1.257143e-03,0.2178,287096.37,0.527021,1826.17
187,5.559680,,,,,1.263866e-03,0.2198,286996.44,0.526837,1826.81
188,5.571293,,,,,1.270588e-03,0.3814,287094.27,0.527017,1826.19
189,5.570068,,,,,1.277311e-03,0.4659,286295.52,0.525550,1831.28
190,5.525976,,,,,1.284034e-03,0.3574,287104.92,0.527036,1826.12
191,5.505948,,,,,1.290756e-03,0.4058,287012.40,0.526866,1826.71
192,5.499575,,,,,1.297479e-03,0.3234,286933.19,0.526721,1827.21
193,5.519611,,,,,1.304202e-03,0.4567,286945.99,0.526745,1827.13
194,5.504513,,,,,1.310924e-03,0.2852,286877.57,0.526619,1827.57
195,5.495775,,,,,1.317647e-03,0.3014,286823.68,0.526520,1827.91
196,5.465656,,,,,1.324370e-03,0.3288,286914.70,0.526687,1827.33
197,5.450551,,,,,1.331092e-03,0.3357,286842.69,0.526555,1827.79
198,5.457453,,,,,1.337815e-03,0.3510,286965.99,0.526781,1827.00
199,5.444469,,,,,1.344538e-03,0.3370,286800.27,0.526477,1828.06
200,5.405654,,,,,1.351261e-03,0.2892,286142.37,0.525269,1832.26
201,5.436200,,,,,1.357983e-03,0.3101,286937.08,0.526728,1827.19
202,5.422073,,,,,1.364706e-03,0.2964,286957.15,0.526765,1827.06
203,5.411247,,,,,1.371429e-03,0.2770,286950.34,0.526753,1827.10
204,5.398602,,,,,1.378151e-03,0.2825,287047.16,0.526930,1826.49
205,5.405803,,,,,1.384874e-03,0.3176,287072.80,0.526977,1826.32
206,5.420776,,,,,1.391597e-03,0.3267,286274.87,0.525513,1831.41
207,5.413279,,,,,1.398319e-03,0.3626,286234.47,0.525438,1831.67
208,5.401230,,,,,1.405042e-03,0.4330,286913.54,0.526685,1827.34
209,5.389240,,,,,1.411765e-03,0.3267,286892.46,0.526646,1827.47
210,5.387753,,,,,1.418487e-03,0.2695,286694.60,0.526283,1828.73
211,5.379087,,,,,1.425210e-03,0.2622,286963.52,0.526777,1827.02
212,5.376939,,,,,1.431933e-03,0.2947,286796.26,0.526470,1828.09
213,5.353527,,,,,1.438655e-03,0.2719,286897.29,0.526655,1827.44
214,5.311193,,,,,1.445378e-03,0.2027,244976.80,0.449702,2140.15
215,5.342072,,,,,1.452101e-03,0.2394,247113.20,0.453624,2121.65
216,5.329188,,,,,1.458824e-03,0.2811,288266.14,0.529168,1818.76
217,5.301253,,,,,1.465546e-03,0.2881,287084.00,0.526998,1826.25
218,5.284774,,,,,1.472269e-03,0.2874,287228.89,0.527264,1825.33
219,5.293319,,,,,1.478992e-03,0.3269,287291.71,0.527379,1824.93
220,5.292662,,,,,1.485714e-03,0.3666,287225.14,0.527257,1825.36
221,5.267706,,,,,1.492437e-03,0.3404,287216.96,0.527242,1825.41
222,5.262097,,,,,1.499160e-03,0.2867,287154.67,0.527128,1825.80
223,5.234887,,,,,1.505882e-03,0.2963,287127.93,0.527079,1825.97
224,5.262410,,,,,1.512605e-03,0.2823,287012.02,0.526866,1826.71
225,5.239925,,,,,1.519328e-03,0.2623,287047.73,0.526931,1826.48
226,5.216192,,,,,1.526050e-03,0.3033,287139.89,0.527100,1825.90
227,5.231119,,,,,1.532773e-03,0.3225,287122.38,0.527068,1826.01
228,5.166669,,,,,1.539496e-03,0.3082,287139.14,0.527099,1825.90
229,5.209600,,,,,1.546218e-03,0.3182,287052.07,0.526939,1826.46
230,5.191478,,,,,1.552941e-03,0.4126,287150.13,0.527119,1825.83
231,5.197371,,,,,1.559664e-03,0.4115,287181.03,0.527176,1825.64
232,5.194428,,,,,1.566387e-03,0.2767,287039.82,0.526917,1826.53
233,5.210791,,,,,1.573109e-03,0.3419,286110.61,0.525211,1832.47
234,5.159632,,,,,1.579832e-03,0.2898,287086.44,0.527002,1826.24
235,5.152981,,,,,1.586555e-03,0.2758,287026.00,0.526891,1826.62
236,5.138774,,,,,1.593277e-03,0.1913,287039.11,0.526915,1826.54
237,5.138805,,,,,1.600000e-03,0.2255,287110.28,0.527046,1826.09
238,5.134836,,,,,1.606723e-03,0.2061,287114.21,0.527053,1826.06
239,5.138851,,,,,1.613445e-03,0.2451,287260.34,0.527322,1825.13
240,5.081336,,,,,1.620168e-03,0.2518,287265.18,0.527330,1825.10
241,5.080542,,,,,1.626891e-03,0.3447,287213.06,0.527235,1825.43
242,5.089532,,,,,1.633613e-03,0.3003,287485.51,0.527735,1823.70
243,5.127388,,,,,1.640336e-03,0.2776,287437.79,0.527647,1824.01
244,5.122299,,,,,1.647059e-03,0.2719,287364.47,0.527513,1824.47
245,5.093336,,,,,1.653782e-03,0.2861,286436.40,0.525809,1830.38
246,5.074625,,,,,1.660504e-03,0.2455,287208.56,0.527227,1825.46
247,5.029179,,,,,1.667227e-03,0.3084,287340.59,0.527469,1824.62
248,5.054508,,,,,1.673950e-03,0.2896,287552.43,0.527858,1823.28
